Model,Threshold,Recall,Precision,F1
LogisticRegression,0.2,0.9938506588579795,0.14988738572963742,0.26048915268112977
LogisticRegression,0.22,0.9892630551488532,0.15097122087826967,0.2619641495534849
LogisticRegression,0.24,0.9833089311859443,0.15234782608695652,0.2638208720701846
LogisticRegression,0.26,0.9760858955588092,0.15434718856596027,0.26654583255590797
LogisticRegression,0.28,0.9653489507076622,0.1568322735129478,0.2698278449240171
LogisticRegression,0.3,0.9511957052220595,0.15969911997509054,0.27348244604720345
LogisticRegression,0.32,0.9326500732064422,0.16316041118814248,0.27773337015129274
LogisticRegression,0.34,0.9136163982430454,0.1674059235942195,0.2829632540774219
LogisticRegression,0.36,0.889311859443631,0.17213951027811367,0.2884460133284789
LogisticRegression,0.38,0.8616886285993167,0.17764720086932023,0.29456614224461536
LogisticRegression,0.4,0.8323084431429966,0.18407702437234202,0.3014778673454957
LogisticRegression,0.42,0.7979502196193266,0.19092437759820635,0.3081243050713303
LogisticRegression,0.44,0.7575402635431918,0.19825780411791755,0.31426778157964
LogisticRegression,0.46,0.7117618350414836,0.2054258106318844,0.31883170827685714
LogisticRegression,0.48,0.6674475353831137,0.21402860809415006,0.32412191306820876
LogisticRegression,0.5,0.6208882381649585,0.2243976434896109,0.3296538142620232
LogisticRegression,0.52,0.5695461200585652,0.2343844145410725,0.33210017074558906
LogisticRegression,0.54,0.5192776964372865,0.24450776725802004,0.33246883104708935
LogisticRegression,0.56,0.4658857979502196,0.2567785668173015,0.33107897201123715
LogisticRegression,0.58,0.4152269399707174,0.2694622157471337,0.3268285187461586
LogisticRegression,0.6,0.36105417276720353,0.28029097522164126,0.3155874072178142
RandomForest,0.2,0.9998047828208882,0.1486151212222335,0.258766168148747
RandomForest,0.22,0.9984382625671059,0.14884824144002562,0.2590735253146924
RandomForest,0.24,0.9920937042459737,0.15141673867055985,0.26273409933954583
RandomForest,0.26,0.9015129331381162,0.1917336156608748,0.3162147356888524
RandomForest,0.28,0.8718399219131283,0.21071007313045528,0.3393939393939394
RandomForest,0.3,0.8695949243533431,0.2124478359365685,0.34147182828669986
RandomForest,0.32,0.8681307955100048,0.2129942285125847,0.34206376677820083
RandomForest,0.34,0.8649097120546608,0.21357983031237948,0.34256664024897066
RandomForest,0.36,0.8567105905319669,0.21557695141720293,0.3444730077120823
RandomForest,0.38,0.8328940946803318,0.2231666492310911,0.3520141911264207
RandomForest,0.4,0.7981454367984383,0.23445250451587005,0.36243960817339654
RandomForest,0.42,0.7921913128355296,0.23663877307053094,0.3644200978851421
RandomForest,0.44,0.789360663738409,0.23695391016437634,0.36449272096272595
RandomForest,0.46,0.7816495851634944,0.23791556493062777,0.3647959183673469
RandomForest,0.48,0.749243533430942,0.24299597961315647,0.36697423148635083
RandomForest,0.5,0.6323084431429966,0.2697143808810059,0.37813384700697544
RandomForest,0.52,0.5894582723279649,0.2808053566446573,0.38039746779628986
RandomForest,0.54,0.5650561249389946,0.28565084377775585,0.3794696994526564
RandomForest,0.56,0.5195705222059541,0.2957222222222222,0.3769162683660825
RandomForest,0.58,0.41717911176183503,0.3281633906633907,0.36735570931281963
RandomForest,0.6,0.3622254758418741,0.3553236307927997,0.3587413601430712
RandomForestTuned,0.2,0.8541727672035139,0.21735674722436105,0.34653308517799863
RandomForestTuned,0.22,0.8167886774036115,0.22806061266761146,0.35656305260242455
RandomForestTuned,0.24,0.7962908735968766,0.23549448646152069,0.3634905429188852
RandomForestTuned,0.26,0.7897510980966325,0.23649596632760436,0.3639921722113503
RandomForestTuned,0.28,0.7724743777452416,0.23956409868321477,0.3657116451016636
RandomForestTuned,0.3,0.6979990239141044,0.2536805136755472,0.37211843680074935
RandomForestTuned,0.32,0.607418252806247,0.27598900124179526,0.37953221724148445
RandomForestTuned,0.34,0.567203513909224,0.2859603365976084,0.3802263953412288
RandomForestTuned,0.36,0.514787701317716,0.2975626269465132,0.37713182452000427
RandomForestTuned,0.38,0.43513909224011715,0.3227160851310265,0.37058896878507
RandomForestTuned,0.4,0.37266959492435336,0.3551627906976744,0.3637056442010002
RandomForestTuned,0.42,0.3432894094680332,0.36811806573163075,0.35527046820546493
RandomForestTuned,0.44,0.31966813079551,0.3764367816091954,0.345737661652151
RandomForestTuned,0.46,0.2869692532942899,0.38638454461821525,0.32933796348157274
RandomForestTuned,0.48,0.25134211810639334,0.4025324370798812,0.30945799783679845
RandomForestTuned,0.5,0.21512933138116155,0.4211733231416014,0.28479131670758495
RandomForestTuned,0.52,0.17676915568570034,0.44638895735765344,0.25325129352538106
RandomForestTuned,0.54,0.1471937530502684,0.46229307173513184,0.22329162656400384
RandomForestTuned,0.56,0.12464616886285994,0.48316307226636396,0.19816883923029174
RandomForestTuned,0.58,0.1048316251830161,0.4926605504587156,0.17287726358148894
RandomForestTuned,0.6,0.08589555880917521,0.5083766608896592,0.14696058784235136
ExtraTrees,0.2,1.0,0.14848041275960522,0.2585684720609762
ExtraTrees,0.22,0.9999023914104441,0.14847667913151869,0.2585595476974722
ExtraTrees,0.24,0.9997071742313324,0.14849934754240973,0.2585873887521303
ExtraTrees,0.26,0.9991215226939971,0.14871422344907745,0.2588934555801454
ExtraTrees,0.28,0.9961932650073206,0.1496042216358839,0.2601414643471612
ExtraTrees,0.3,0.9864324060517325,0.15259176493681015,0.2642989774302377
ExtraTrees,0.32,0.9650561249389946,0.15922377002979307,0.27334807851810894
ExtraTrees,0.34,0.9395802830649097,0.16869961444093937,0.28604115593195156
ExtraTrees,0.36,0.9177159590043924,0.1793179737564846,0.3000143593343651
ExtraTrees,0.38,0.8958516349438751,0.19039123760527735,0.3140408205163299
ExtraTrees,0.4,0.8722303562713519,0.20014334348683033,0.3255788534057166
ExtraTrees,0.42,0.8423621278672523,0.2089386015882239,0.3348270577508778
ExtraTrees,0.44,0.8088823816495851,0.2179584966202888,0.3433887208386856
ExtraTrees,0.46,0.7661298194241093,0.2271911543359963,0.35045654454937153
ExtraTrees,0.48,0.7030746705710103,0.23867590046058518,0.3563724520087077
ExtraTrees,0.5,0.622157149829185,0.25535835904010257,0.3620973697665171
ExtraTrees,0.52,0.5358711566617862,0.275671604318353,0.3640583554376658
ExtraTrees,0.54,0.45963884821864326,0.2966672966672967,0.3605942262041504
ExtraTrees,0.56,0.38682284040995607,0.31872285668328776,0.34948630892014637
ExtraTrees,0.58,0.3136163982430454,0.3420632385819227,0.32722273143904673
ExtraTrees,0.6,0.24870668618838457,0.3656716417910448,0.29605530703538024
ExtraTreesTuned,0.2,0.9210346510492924,0.1792280808387783,0.30006519008474714
ExtraTreesTuned,0.22,0.8969253294289897,0.19294488188976378,0.31757387247278385
ExtraTreesTuned,0.24,0.8705710102489019,0.2028428473959518,0.32902333302591535
ExtraTreesTuned,0.26,0.8397266959492435,0.21207415076665187,0.3386274625573203
ExtraTreesTuned,0.28,0.8028306490971205,0.22055668776145018,0.3460462376675011
ExtraTreesTuned,0.3,0.7609565641776477,0.2307259759093196,0.35409002134714085
ExtraTreesTuned,0.32,0.6874572962420693,0.2421939477303989,0.3581945327399873
ExtraTreesTuned,0.34,0.6009760858955588,0.26315339573449587,0.366030557041793
ExtraTreesTuned,0.36,0.515568570034163,0.2843300855897077,0.3665255707445701
ExtraTreesTuned,0.38,0.4438262567105905,0.3065255494135095,0.3626141393197496
ExtraTreesTuned,0.4,0.37813567593948266,0.32970212765957446,0.35226187769947714
ExtraTreesTuned,0.42,0.3208394338701806,0.3533268838009244,0.33630038878657664
ExtraTreesTuned,0.44,0.26569058077110785,0.3744154057771664,0.31081929774479017
ExtraTreesTuned,0.46,0.2148365056124939,0.3974358974358974,0.27890768548438194
ExtraTreesTuned,0.48,0.16603221083455344,0.4250374812593703,0.23878711307643716
ExtraTreesTuned,0.5,0.12415812591508053,0.44678609062170704,0.19431714023831348
ExtraTreesTuned,0.52,0.0920448999511957,0.47268170426065165,0.15408496732026145
ExtraTreesTuned,0.54,0.06783796974133724,0.504720406681191,0.1196007571846498
ExtraTreesTuned,0.56,0.04899951195705222,0.5101626016260162,0.0894113456229406
ExtraTreesTuned,0.58,0.03211322596388482,0.5393442622950819,0.06061722708429295
ExtraTreesTuned,0.6,0.02020497803806735,0.5734072022160664,0.03903450876862154
GradientBoosting,0.2,0.4364080039043436,0.3305974563738539,0.37620429971812025
GradientBoosting,0.22,0.3930697901415325,0.35170305676855895,0.37123761235307673
GradientBoosting,0.24,0.3871156661786237,0.35316117542297415,0.36935972060535505
GradientBoosting,0.26,0.3473889702293802,0.3698815215131989,0.35828257915135653
GradientBoosting,0.28,0.33528550512445093,0.3773895847066579,0.3550938129942627
GradientBoosting,0.3,0.31771595900439237,0.38488825824760553,0.3480911132499198
GradientBoosting,0.32,0.23670082967301123,0.4275387870239774,0.3047056606144374
GradientBoosting,0.34,0.22127867252318204,0.43049753133308016,0.29230868415962863
GradientBoosting,0.36,0.168862859931674,0.4604737822730902,0.2471075560634195
GradientBoosting,0.38,0.15305026842362127,0.4686192468619247,0.23074093149878597
GradientBoosting,0.4,0.12601268911664226,0.4886449659348978,0.20035694886319547
GradientBoosting,0.42,0.11322596388482187,0.5004314063848145,0.18466926689484994
GradientBoosting,0.44,0.10571010248901903,0.5079737335834896,0.17500201987557568
GradientBoosting,0.46,0.08706686188384578,0.5129384703852788,0.14886515353805074
GradientBoosting,0.48,0.07769643728648121,0.5327978580990629,0.1356163216628333
GradientBoosting,0.5,0.07115666178623718,0.5380073800738008,0.1256896551724138
GradientBoosting,0.52,0.05846754514397267,0.5515653775322283,0.10572764981025505
GradientBoosting,0.54,0.050366032210834556,0.5752508361204013,0.09262250942380183
GradientBoosting,0.56,0.04646168862859932,0.5876543209876544,0.08611488014473088
GradientBoosting,0.58,0.03513909224011713,0.6040268456375839,0.0664145374042985
GradientBoosting,0.6,0.027232796486090775,0.6312217194570136,0.052212969027790775
XGBoostCalibrated,0.2,0.39102000976085893,0.3501136165006118,0.36943791211324756
XGBoostCalibrated,0.22,0.3689604685212299,0.35900845284452465,0.3639164340040435
XGBoostCalibrated,0.24,0.34055636896046854,0.37307527801539775,0.356074909424912
XGBoostCalibrated,0.26,0.31742313323572474,0.38312912346842604,0.34719478994288155
XGBoostCalibrated,0.28,0.27945339189848706,0.40301238738738737,0.3300478413741426
XGBoostCalibrated,0.3,0.23943387018057588,0.4182438192668372,0.30453134698944756
XGBoostCalibrated,0.32,0.21249389946315275,0.43323383084577116,0.28513425016371974
XGBoostCalibrated,0.34,0.1882869692532943,0.44797956339990713,0.26513641674111743
XGBoostCalibrated,0.36,0.17052220595412396,0.4573298429319372,0.24841805901173125
XGBoostCalibrated,0.38,0.15773548072230356,0.46530377195508205,0.235602857559411
XGBoostCalibrated,0.4,0.14641288433382138,0.4694835680751174,0.22321428571428573
XGBoostCalibrated,0.42,0.13616398243045388,0.47987616099071206,0.21213503649635038
XGBoostCalibrated,0.44,0.12503660322108345,0.48522727272727273,0.19883585564610012
XGBoostCalibrated,0.46,0.11400683260126891,0.4919966301600674,0.18511767968935733
XGBoostCalibrated,0.48,0.10414836505612494,0.5115052732502396,0.17305976806422838
XGBoostCalibrated,0.5,0.09389946315275745,0.5183189655172413,0.15899512436988678
XGBoostCalibrated,0.52,0.08452903855539287,0.5251667677380231,0.14561964015469986
XGBoostCalibrated,0.54,0.07652513421181063,0.5329707681849082,0.13383407306247866
XGBoostCalibrated,0.56,0.07037579306979014,0.5416979714500376,0.12456807187284036
XGBoostCalibrated,0.58,0.06451927769643728,0.5449299258037923,0.1153779019026008
XGBoostCalibrated,0.6,0.05856515373352855,0.5484460694698354,0.10582943822206543
XGBoostCalibratedTuned,0.2,0.4427525622254758,0.3256748994830557,0.3752947503412899
XGBoostCalibratedTuned,0.22,0.39463152757442654,0.34925708362128544,0.37056046927271896
XGBoostCalibratedTuned,0.24,0.38321132259638846,0.352930600503416,0.367448172586457
XGBoostCalibratedTuned,0.26,0.35998047828208884,0.3632781717888101,0.3616218071284993
XGBoostCalibratedTuned,0.28,0.3346022449975598,0.37703475582930046,0.3545534467600972
XGBoostCalibratedTuned,0.3,0.3105905319668131,0.38857003297105874,0.34523163719214495
XGBoostCalibratedTuned,0.32,0.2571986334797462,0.41191183367203377,0.31666866963105395
XGBoostCalibratedTuned,0.34,0.22430453879941434,0.42809239940387483,0.29437007621853584
XGBoostCalibratedTuned,0.36,0.1968765251342118,0.44290733421168205,0.2725859855395635
XGBoostCalibratedTuned,0.38,0.16876525134211812,0.4577707175006619,0.24661246612466126
XGBoostCalibratedTuned,0.4,0.15285505124450952,0.4671837708830549,0.23034492902846215
XGBoostCalibratedTuned,0.42,0.13684724255734504,0.4783350392357557,0.21281117182756526
XGBoostCalibratedTuned,0.44,0.1186920448999512,0.4931062449310625,0.19133034379671152
XGBoostCalibratedTuned,0.46,0.10405075646656906,0.514975845410628,0.17312220868859116
XGBoostCalibratedTuned,0.48,0.08677403611517813,0.5217136150234741,0.14879906268306972
XGBoostCalibratedTuned,0.5,0.07320644216691069,0.5357142857142857,0.12881064834693
XGBoostCalibratedTuned,0.52,0.06451927769643728,0.5435855263157895,0.11534770089869995
XGBoostCalibratedTuned,0.54,0.053879941434846264,0.5649948822927329,0.09837818570664765
XGBoostCalibratedTuned,0.56,0.04177647632991703,0.5815217391304348,0.07795282761132866
XGBoostCalibratedTuned,0.58,0.03191800878477306,0.615819209039548,0.060690423162583516
XGBoostCalibratedTuned,0.6,0.02157149829184968,0.655786350148368,0.04176904176904177
